case,diff_1,diff_2,diff_3
ISIC_0003462,0.004952027236149847,0.01419340449834361,0.0022286796443472534
ISIC_0007796,0.03303197087201182,0.054074256098233464,0.04380592976441411
ISIC_0012204,0.03299801298138716,0.07126495365248264,0.40762794187732593
ISIC_0012222,0.00875568037794483,0.00632743153977422,0.025089407300305067
ISIC_0012256,0.04183357322171111,0.07935530069877628,0.07199773168725654
ISIC_0012538,0.007850428426915523,0.012868671141260224,0.005184908358247808
ISIC_0012660,0.014328243666923757,0.12611847203362558,0.05287746918225711
ISIC_0012720,0.04195613120589281,0.029660292298723023,0.03657237387716761
ISIC_0013104,0.004737005624328217,0.006453848465872825,0.013092920213559789
ISIC_0013489,0.006275795499176007,0.0045516012994674115,0.024440722158344586
ISIC_0013517,0.02925295423349583,0.018480353400074034,0.11761166883583762
ISIC_0013525,0.08470596876535308,0.02438978577695361,0.017915790696075407
ISIC_0013530,0.002305376510981838,0.12234521106130386,0.16142419804533553
ISIC_0013554,0.003744163193871608,0.0007918866351765974,0.11536133358167266
ISIC_0013573,0.04877020213764982,0.09117502834583824,0.10882529295065468
ISIC_0013578,0.00715233876002519,0.034876399608128605,0.09960565997742454
ISIC_0013579,0.0033494065220036617,0.01244162999890086,0.11650523450638772
ISIC_0013581,0.01285798894720458,0.029409969163707084,0.009977174368593356
ISIC_0013584,0.21790353201053847,0.08576353146253712,0.3480882812610877
ISIC_0013585,2.362952145928965e-05,0.00911894523533463,0.0443764496998752
ISIC_0013595,0.05020654804080171,0.02953575793916219,0.016524442978049225
ISIC_0013596,0.03046983376693735,0.05795238002644465,0.33659666233734403
ISIC_0013618,0.005254975491899128,0.03837954718295822,0.07267457008461864
ISIC_0013626,0.03531260552370863,0.030322903416909575,0.02443176217282672
ISIC_0013632,0.18236585959883944,0.2222738345781642,0.49459489982862737
ISIC_0013637,0.0024188587552078644,0.010649923655811078,0.00152083969385286
ISIC_0013639,0.005410093689082629,0.002296937035892621,0.009402050572799858
ISIC_0013643,0.004407956307602379,0.010520110912499159,0.0007521715143083973
ISIC_0013670,0.10523371405279058,0.07733932733932758,0.6314020941680518
ISIC_0013675,0.0005111376744819651,0.007826912046977608,0.007599177812828817
ISIC_0013682,0.02554450042494083,0.03528699535444724,0.0375148548207086
ISIC_0013688,0.0015040238665355865,0.0029865570692191312,0.013341864387559577
ISIC_0013691,0.03743324070385723,0.021632001183852223,0.005467514635461246
ISIC_0013758,0.008477427652733072,0.003806505056991538,0.0012665567533292066
ISIC_0013762,0.08113432689492783,0.05885711759810108,0.08732460457667213
ISIC_0013799,0.002175480609651226,0.006027765933542928,0.006588035725549557
ISIC_0013800,0.0018905133861999435,0.0042245246546993576,0.011248186360788726
ISIC_0013801,0.005174721395521553,0.02329578846239999,0.004382416950851176
ISIC_0013802,0.004281729818847002,0.011797659458304799,0.033593992940234574
ISIC_0013815,0.023501944612280057,0.03148509110216846,0.04139693805879885
ISIC_0013817,0.021096144898085534,0.008305643890165193,0.008404870010396137
ISIC_0013819,0.03804472186861174,0.10043339330538581,0.043998032826810474
ISIC_0013836,0.03663824190742859,0.047842083453671025,0.013292165995080873
ISIC_0013876,0.010754960666901625,0.014213683211713235,0.01871570297882086
ISIC_0013888,0.042573816155988764,0.015062923675314033,0.05399103469903521
ISIC_0013890,0.017666421027895063,0.0010477014080688685,0.23973093395586864
ISIC_0013942,0.08369452349673667,0.003130673233283532,0.027698383716737163
ISIC_0013961,0.19310978773382875,0.34122243979463945,0.022384502061787104
ISIC_0013962,0.006274712941379601,0.018315262320058645,0.022577247827020863
ISIC_0013969,0.01955862331742686,0.008170099667856867,0.0032518303524942116
ISIC_0013980,0.18248763514629285,0.07533080734062503,0.0854246161150709
ISIC_0013983,0.08910800947410824,0.03819691174527606,0.15693120048547815
ISIC_0013997,0.002245178723967567,0.017165546706772394,0.030117069072255198
ISIC_0014004,0.010757542910465379,0.017748027373695963,0.010599725661923132
ISIC_0014028,0.012450135199272627,0.02173813447334383,9.741486655878706e-05
ISIC_0014031,0.048455089499815585,0.0062197124382640245,0.04511500827736581
ISIC_0014032,0.010727096936479441,0.0013119908748894238,0.19514613483757937
ISIC_0014046,0.004568817818389359,0.02289658821880103,0.08880514392778038
ISIC_0014055,0.031191136965351363,0.03194838090905194,0.0722936763129689
ISIC_0014069,0.04640762378943908,0.014723085622824872,0.14269148697485434
ISIC_0014080,0.11996959741703683,0.1866267519291822,0.2400373239087713
ISIC_0014082,0.019428432293073006,0.10675426225937013,0.1305770307570897
ISIC_0014089,0.1038145202562255,0.029867445991581865,0.7784097426409835
ISIC_0014092,0.027011613584539962,0.02513203592944735,0.056074226035061625
ISIC_0014094,0.055933379597501776,0.01523341523341526,0.005492193555530878
ISIC_0014108,0.014785373757067233,0.005195349264720428,0.013315333101549087
ISIC_0014114,0.018004429673458056,0.000866511600508435,0.04713846707248526
ISIC_0014144,0.0027633180535053814,0.007653287516094398,0.016633325539303634
ISIC_0014149,0.0006584348048344069,0.11047337268315116,0.03512476519390295
ISIC_0014150,0.01058666028784061,0.0051778964939643846,0.02588245065886874
ISIC_0014157,0.03748506500049298,0.022307454582869757,0.042153861491716293
ISIC_0014163,0.01099847138556076,0.01595248278439454,0.029205309480956787
ISIC_0014174,0.00464252553389044,0.0098488929378594,0.006725410867677195
ISIC_0014185,0.0007621287812428212,1.3995401972222155e-05,0.006165785670602442
ISIC_0014191,0.012975807433772801,0.0186843674800512,0.19099301477813946
ISIC_0014249,0.022821623129459012,0.053035107737921416,0.06478620732636797
ISIC_0014253,0.013837846941934129,0.00917042216579056,0.042486125181694145
ISIC_0014263,0.00610651911883997,0.008218654791281033,0.06299806600416835
ISIC_0014299,0.12547078176406068,0.0698096132502346,0.047944607796642225
ISIC_0014327,0.013281039219644408,0.0010424915077393848,0.019529047703603086
ISIC_0014337,0.005631750750559328,0.0762572463759229,0.022622474431142847
ISIC_0014353,0.01717051905476763,0.002663861312605653,0.011303221108126205
ISIC_0014366,0.0098609230868284,0.035210291784792846,0.14877341958043688
ISIC_0014382,0.015768468959328263,0.025710574477877834,0.004360748428611005
ISIC_0014385,0.0028835443789516635,0.007098865993992232,0.011346097693869406
ISIC_0014393,0.09740775127830675,0.12508422149503873,0.15734873497379742
ISIC_0014397,0.004173111527727258,0.005427258176789573,0.012076527860016006
ISIC_0014410,0.07910648146907706,0.03294369797070429,0.2335002660353681
ISIC_0014430,1.95169671324269e-05,0.0031289544410399994,0.008009593003717397
ISIC_0014438,0.006976301976324817,0.015614227308284656,0.0017855989268290573
ISIC_0014469,0.016744746340874084,0.020579954346777618,0.04383927963791168
ISIC_0014473,0.13420774387309464,0.11409967471409976,0.2740844388563054
ISIC_0014476,0.016528231176764607,0.01298519179826707,0.11794728828461742
ISIC_0014498,0.0024466351255094665,0.006726544769408482,0.016932773903857612
ISIC_0014502,0.013333174112242774,0.024404905458459525,0.051701351736541445
ISIC_0014504,0.029503476745559976,0.014109400367977809,0.022013528788059955
ISIC_0014511,0.003715146349818954,0.004838675350104182,0.03302924799918816
ISIC_0014516,0.00535906596693958,0.005810835673246806,0.0006050185548005516
ISIC_0014522,0.07030705973158469,0.07637848173221018,0.025690752160276942
ISIC_0014525,0.2785558681761908,0.41565499416102347,0.4540483682095398
ISIC_0014527,0.019143471061238593,0.0013163132723241766,0.029125923298344958
ISIC_0014547,0.013046904373175128,0.01933073250486317,0.8220921214578556
ISIC_0014568,0.025136827022456232,0.057787449805069335,0.06186005004197204
ISIC_0014570,0.0095606477111011,0.021296373692514914,0.013540341685296942
ISIC_0014571,0.016893947681342336,0.010339275404415926,0.053053567163176885
ISIC_0014572,0.11181837359268909,0.0435719511395104,0.0290717438475534
ISIC_0014573,0.008154278902072876,0.009205293317968044,0.03002061452923177
ISIC_0014580,0.0019919876445422258,0.035171848102165004,0.021476455974525854
ISIC_0014581,0.016766453666485104,0.08942158061789984,0.1913444173284714
ISIC_0014583,0.030407305839129428,0.03844202497098781,0.014682530218075085
ISIC_0014585,0.1670589691212121,0.06797516759419342,0.09546003649316281
ISIC_0014589,0.011710443852541608,0.04297220711642835,0.001546489082280278
ISIC_0014598,0.14460519733551003,0.21170236316342916,0.18258094058072527
ISIC_0014599,0.0010668800485997831,0.003750773342122593,0.0013036926260834303
ISIC_0014610,0.032580514859265275,0.021318395761953823,0.03753017310945994
ISIC_0014613,0.061853362194090544,0.0510902616575486,0.10968612606246608
ISIC_0014616,0.01451036375507675,0.04919417051435537,0.011683441220125212
ISIC_0014618,0.08315440032278176,0.05863116393824208,0.01169552396533502
ISIC_0014622,0.010587398256422187,0.0007640259763119772,0.013732524067872953
ISIC_0014628,0.0493750749082128,0.05759977172049591,0.06610035045692808
ISIC_0014632,0.08130043588042735,0.09079763944412722,0.048990684617997826
ISIC_0014638,0.009269057500647215,0.02125494503146974,0.02271154892916849
ISIC_0014694,0.002199708318551208,0.0035995682540224117,0.009964268792650666
ISIC_0014708,0.047247469701341416,0.03763286362771778,0.0013448214203030107
ISIC_0014713,0.018124498098854525,0.07986963061787011,0.08040693038687763
ISIC_0014715,0.020962197938699467,0.04086174840047263,0.015528804524137407
ISIC_0014716,0.015954989316458668,0.007593761641379815,0.051275919428234396
ISIC_0014722,0.013176022735008175,0.013112395611443395,0.005201361335680943
ISIC_0014723,0.0007774323987775889,0.003554084511980027,0.024562233342069972
ISIC_0014724,0.0034566268195512784,0.002461559157140858,0.0031659332170526078
ISIC_0014760,0.0018097945210173716,0.002218815162691623,0.0010073179633975915
ISIC_0014762,0.021997634009381373,0.022324666666190596,0.001029038670664728
ISIC_0014763,0.012658598984363612,0.005964182432636633,0.013334974139313172
ISIC_0014770,0.004196911461847974,0.0024627686421769823,0.03962528214062899
ISIC_0014771,0.008286302551732794,0.002304423293211122,0.006205529027398571
ISIC_0014783,0.0013334366646813312,0.007753065424398575,0.014586443940136529
ISIC_0014794,0.028729892808708857,0.006073308585254011,0.009898065614634022
ISIC_0014797,0.020439683969951772,0.00499857326981723,0.38470404276126313
ISIC_0014803,0.006053791721332247,0.006860731238391038,0.02171498523755022
ISIC_0014805,0.012283137863671967,0.006096970267202018,0.021106530631095577
ISIC_0014809,0.01553347942403116,0.028045654015308785,0.018846039092530575
ISIC_0014811,0.002424702297074144,0.005444908563566941,0.0011724201325346018
ISIC_0014819,0.007944925377226242,0.01655442287606146,0.04091732068465426
ISIC_0014823,0.005555934899710402,0.0016117362866652218,0.2527726034534975
ISIC_0014829,0.03272277168086135,0.050530078520638955,0.0018254331043507932
ISIC_0014830,0.02134031174458817,0.03619887639014563,0.02724685893533918
ISIC_0014831,0.008761381422137227,0.0347771993204381,0.10156350952791027
ISIC_0014834,0.010760010202679249,0.0042403197373812596,0.029799977178049608
ISIC_0014838,0.014208066153249432,0.024611929428727808,0.02680058088134485
ISIC_0014839,0.03239021443517753,0.03014661754387793,0.0020223692897268775
ISIC_0014846,0.003026229059582608,0.004140940080364475,0.0008367891563960672
ISIC_0014848,0.019243788600437184,0.016238800145771615,0.012282579314540798
ISIC_0014869,0.009988702130980243,0.014917482611979227,0.010335885680551882
ISIC_0014890,0.016528943932218376,0.002172176154183414,0.01635340826620979
ISIC_0014922,0.02200890766397856,0.014971678445113934,0.007416365279332426
ISIC_0014925,0.0036470356674743742,0.006642395091350006,0.02791339978539975
ISIC_0014926,0.019000465059942018,0.017264429375715595,0.006822502277206821
ISIC_0014929,0.018638471186456007,0.006847876184572832,0.019898480275838848
ISIC_0014930,0.0028565575965704415,0.004011448433771436,0.011761013383767005
ISIC_0014989,0.0010731318662178246,0.009075729162966395,0.10195259531546941
ISIC_0015032,0.01756386977561275,0.013390659359814205,0.03337857142363154
ISIC_0015043,0.04751913764565863,0.03308801635541203,0.015348672027310828
ISIC_0015044,0.007125050254430332,0.0019154595068772151,0.021638887708662402
ISIC_0015045,0.009698558735120377,0.010956471770852017,0.0007354012479175998
ISIC_0015079,0.014947462690936164,0.0001739704641690043,0.022378675668194625
ISIC_0015109,0.024653463383821572,0.04235978921998362,0.059750273171388035
ISIC_0015112,0.007198910282039006,0.0052945169002326375,0.02078409933295977
ISIC_0015113,0.0003677840393198073,0.002002507935012443,0.003446241237931247
ISIC_0015153,0.008057016683647666,0.0038926940861973014,0.015255332655568887
ISIC_0015158,0.013536443583827218,0.020470263140105027,0.010805619349092854
ISIC_0015168,0.0012780477094107567,0.004345838070443975,0.006915561743828236
ISIC_0015211,0.003656015044326888,0.001193210806083811,0.09500679242224841
ISIC_0015483,0.041240187486795477,0.010902090239139017,0.24641847169135245
ISIC_0015496,0.010422698674482422,0.00701246547509804,0.02336806339487485
ISIC_0015627,0.0036271630770442487,0.0004890025968198319,0.005303687822958647
